S.no,Group,Department,Designation,Functional Requirements,Category of Disabilities - A,Category of Disabilities - B,Category of Disabilities - C,Category of Disabilities - D,Category of Disabilities - E,  Nature of work  ,Working conditions,Column1
86,D (Fourth Level),Health and medical including nursing and chemist, Para-Medical  Worker,"Sitting (S), Standing (ST), Bending (BN), Manipulation with Fingers (MF), Reading & Writing (RW), Seeing (SE), Communication (C)",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)",Multiple Disabilities (MD A and C),To work in the OPD as Para-medical worker ,Work under supervision. Should have functional communication skill with assistive listening devices. Mobility and bilateral hand activities of the person should be adequate. ,TRUE
87,A (One Level),Animal Husbandry,Senior Scientist (Animal Nutrition),"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Both Arms (BA), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","They develop and apply most
effective methods for collecting,
tabulating, interpreting data as
applied in the field of Agriculture
science, Animal Science. Food
Science, Fishery Science,
Horticulture, Textile etc.
May do statistical analysis of data
and prepare reports analyzing and
evaluating conclusions","Should have functional
communication skills with assistive
listening devices. Incumbent should
be considered with appropriate aids,
appliancesand computersoftwareas
per requirement of the job.",TRUE
88,D (Fourth Level),Estate and Maintenance,Temple Attendant,"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Reading & Writing, Seeing, Hearing","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)",to perform manual jobs and helping the pujari in performing rites,"The work is performed
mostly inside. Occasional
field work is involved.
Incumbent hold be
functionally able to
complete the assigned task efficiently with aids
and appliances, whenever
necessary.",TRUE
89,D (Fourth Level),Estate and Maintenance,Helper to Tube Well Operator,"Sitting, Standing, Walking, Bending, Lifting, Reading & Writing, Seeing, Hearing",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)", To operate Tube Well & maintain it.,"The work is performed
inside as well as outside.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
90,D (Fourth Level),Estate and Maintenance,Miscellaneous Attendant Trainee,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Assisting in all manual duties and works assigned by the
superiors.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
91,D (Fourth Level),Estate and Maintenance,Skilled Support staff,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Assisting in all manual duties and works assigned by
the superiors.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned
task efficiently with aids and appliances, whenever
necessary.",TRUE
92,D (Fourth Level),Geology,Field Attendant (Geography),"Sitting, Standing, Bending, Pulling & Pushing, Reading & Writing, Seeing, Hearing",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Collecting samples, raw materials, carrying equipment for
geological experiments. Works allotted by the seniors.","The work is performed
mostly inside. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary",TRUE
93,D (Fourth Level),Geology,Section Grinder (Geology),"Sitting, Standing, Lifting, Pulling & Pushing, Reading & Writing, Seeing, Hearing",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Grinding the samples of various raw materials, articles for
experiments.","The work is performed
mostly inside. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
94,D (Fourth Level),Geology,Technical Operator,"Sitting, Standing, Walking, Bending, Manipulation with Fingers, Reading & Writing, Seeing",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)",Assists in different operations of ground water drilling,"Mostly work is performed outside
Mobility should not be
restricted.Incumbents
should be able to perform
assigned work efficiently
with aids &appliances.",TRUE
95,D (Fourth Level),Logistics and Dispatch,Semi-Skilled Rigger,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Select suitable wire/nylon/mania/canvass/ other types of ropes/slings, clamps, chain blocks, winches or any other lifting
and handling tools and tackles for loading/ unloading/moving all
types of regular or irregular loads considering the safe working
load. Rigging, signaling and handling including lifting, moving,
turning, positioning, transporting or placing all types of regular
and irregular loads safely and precisely either by manual effort
or using any type of crane/chain block etc.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
96,D (Fourth Level),Logistics and Dispatch,Rigger,"Sitting, Standing, Walking, Bending, Reading & Writing, Seeing, Hearing, Communication","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), One Arm One Leg (OAL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Rigger erects lifting and hauling tackles, pulleys, wire ropes,
etc. to lift, move or lower heavy articles such as girders,
beams, roofing sheets, machinery, logs etc. for building,
erection, construction or similar purposes.","The work is performed
inside as well as outside.
The job may
requirescolour
identification and sitting
for long periods.
Incumbent should be
functionally able to
complete the assigned task
efficiently with aids and
appliances, whenever
necessary.",TRUE
97,D (Fourth Level),Logistics and Dispatch,Porter,"Sitting, Standing, Walking, Bending, Lifting, Pulling & Pushing, Manipulation with Fingers, Reading & Writing, Seeing, Hearing","Blindness (B), Low Vision (LV)","Hard of Hearing (HH), Deaf (D)","One Arm (OA), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Carrying various things, articles and parcels from one
department to another and to various places.","The work is performed
mostly inside. Mobility
and bilateral hand
activities should be
adequate. He usually
works alone. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
98,D (Fourth Level),Logistics and Dispatch,Coolie,"Sitting, Standing, Walking, Bending, Lifting, Pulling & Pushing, Manipulation with Fingers, Seeing, Hearing, Communication",Low Vision (LV),"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C, D)","Lifting, moving transferring and carrying the things, articles
etc., from one section to another","The work is performed
mostly inside. Mobility
should be adequate.
Occasional field work is
involved. He usually
works alone. Incumbent
should be functionally able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
99,D (Fourth Level),Logistics and Dispatch,Millwright (Semi- Skilled) Artisans*,"Sitting, Standing, Walking, Bending, Lifting, Pulling & Pushing, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)",Lifting of goods & operating machines,"Work is performed inside
and outside. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.
* Not identified for
Railways personnel (except
OL Category) who are
involved in operation of
trains, maintenance of rail
tracks and movement of
engines and compartments
in yards, telecommunication
and signaling works",TRUE
100,D (Fourth Level),Health and medical including nursing and chemist,Dresser,"Sitting, Standing, Walking, Bending, Pulling & Pushing, Manipulation with Fingers, Reading & Writing, Seeing, Hearing",,"Hard of Hearing (HH), Deaf (D)","One Arm (OA), One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)",To do dressing and providing first aid to the patients.,"The work is perfomed
mostly inside. Incumbent
should be
functionally able to
complete the assigned
task efficiently with aids
and appliances, whenever
necessary.",TRUE
101,D (Fourth Level),Health and medical including nursing and chemist,Stretcher Bearer,"Sitting, Standing, Walking, Bending, Lifting, Pulling & Pushing, Manipulation with Fingers, Reading & Writing, Seeing, Communication",,"Hard of Hearing (HH), Deaf (D)","One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Dwarfism (Dw), Acid Attack Victims (AAV)","Autism Spectrum Disorder (ASD M), Autism Spectrum Disorder (ASD MoD), Intellectual Disability (ID), Specific Learning Disability (SLD), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Operating the Stretchers for the patients, keep them clean and
neat, maintain them in proper working condition. Keeps
records and reports.","The work is performed
inside as well as outside.
The job requires carrying
casualty with swift
mobility. Incumbent
should be functionally
able to complete the
assigned task efficiently
with aids and appliances,
whenever necessary.",TRUE
102,D (Fourth Level),Health and medical including nursing and chemist,Health Worker,"Sitting, Standing, Walking, Manipulation with Fingers, Reading & Writing, Seeing, Hearing, Communication",Low Vision (LV),,"One Leg (OL), Cerebral Palsy (CP), Leprosy Cured (LC), Acid Attack Victims (AAV)","Intellectual Disability (ID), Mental Illness (MI)","Multiple Disabilities (MD A, B, C)","Renders health care at private residence and at health centres.
Gives advice on personal and environmental hygiene. May
give injections, drops, may also conduct sewing and first aid
classes at welfare centres and give family planning advice.","The work is performed
inside as well as outside.
Mobility should be
adequate Incumbent
should be functionally
able to complete the
assigned task efficiently
with Aids and appliances,
whenever necessary.",TRUE
